,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_ra,0.00373662,0.0009408,0.00196342,0.00549687,9.1e-06,6.43e-06,11209.52922169,8233.20902468,1.00022657
delta_dec,-0.00306148,0.00157759,-0.00594579,-4.704e-05,1.31e-05,1.033e-05,14554.56403608,9971.71057578,0.99998034
pm_ra,-0.07269259,0.00089008,-0.07439954,-0.07105177,7.44e-06,5.27e-06,14390.25594122,10637.21951308,0.99992711
pm_dec,0.27128355,0.00125489,0.26885109,0.27347881,1.725e-05,1.219e-05,6362.77915486,4680.10196962,1.00037237
log_parallax,-3.38851716,0.01253112,-3.41237027,-3.36497469,0.00010365,7.33e-05,14593.97794455,11251.46811488,1.00047514
parallax,0.03376135,0.00042304,0.03296298,0.03456289,3.5e-06,2.47e-06,14593.97794455,11251.46811488,1.00047827
log_sigma,-5.92914967,0.09458326,-6.1071295,-5.75260428,0.00082399,0.00058267,13164.52310329,10365.07279357,0.99995401
log_mp,-0.17177277,0.10652962,-0.36429138,0.02136073,0.00178522,0.00126245,3093.22764371,2453.00690602,1.00083045
mp,0.84691401,0.08902199,0.68491948,1.00777319,0.00152845,0.00111005,3093.22764371,2453.00690602,1.00083045
p,1297.41391012,12.94618573,1273.17017185,1321.69160328,0.09292338,0.06574709,19379.20998414,11219.94093436,1.00010929
ecc,0.06720719,0.0403751,-0.00768055,0.14242966,0.00038832,0.00031983,11004.07289316,7710.6731111,1.00010072
omega,-0.1201406,0.00572851,-0.12949869,-0.11080109,4.277e-05,3.025e-05,16465.73538244,9416.22712795,1.00028721
cosi,-0.60330304,0.03391566,-0.66554813,-0.53727824,0.00029368,0.00021125,13619.82134926,7555.06944217,1.00042485
i,2.21912531,0.04270598,2.1370297,2.29794508,0.00037359,0.0002658,13619.82134926,7555.06944217,1.00042902
i_ratio,0.8771813,0.06700499,0.75471478,0.9816475,0.00123077,0.00087037,3093.22764371,2453.00690602,1.00083045
long_peri,-2.85818425,0.05506513,-2.96063938,-2.75602098,0.0007402,0.00052499,5971.79312358,5434.30484875,1.00138848
tp,223.2084189,12.23388353,200.99741807,246.47936152,0.1567719,0.11085978,6449.77958689,5997.44887022,1.00066432
